Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1990","1990","t","33100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1991","1991","t","33644","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1992","1992","t","33147","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1993","1993","t","26300","X","Figure from external organization","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1994","1994","t","25400","X","Figure from external organization","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1995","1995","t","15000","X","Figure from external organization","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1996","1996","t","20175","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1997","1997","t","24943","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1998","1998","t","19324","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1999","1999","t","12535","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2000","2000","t","14135","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2001","2001","t","6660","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2002","2002","t","22192","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2003","2003","t","26590","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2004","2004","t","34469","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2005","2005","t","33530","A","Official figure","Official data from questionnaire"
