-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Latitude  -6.369   Longitude 34.888 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1071.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR_SUM       MERRA-2 Precipitation Corrected Sum (mm/day) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1990,21.86,19.68,20.98,20.53,19.63,20.25,21.1,21.0,23.83,25.35,23.87,22.51,21.73
ALLSKY_SFC_SW_DWN,1991,20.17,22.62,22.26,20.77,18.75,20.41,18.93,21.65,25.33,21.89,25.21,20.39,21.51
ALLSKY_SFC_SW_DWN,1992,24.66,19.47,22.46,19.98,18.89,19.26,21.14,23.18,23.62,25.14,23.19,22.58,21.98
ALLSKY_SFC_SW_DWN,1993,20.38,20.51,21.97,20.79,19.01,20.9,21.55,22.04,24.52,26.22,25.49,26.85,22.53
ALLSKY_SFC_SW_DWN,1994,21.0,18.82,22.1,21.46,18.46,21.37,21.04,21.38,24.43,25.02,23.43,21.93,21.72
ALLSKY_SFC_SW_DWN,1995,20.67,19.58,21.59,20.67,17.45,21.27,21.13,22.37,24.23,24.57,25.71,23.2,21.88
ALLSKY_SFC_SW_DWN,1996,21.66,19.42,21.76,19.36,17.93,20.79,20.98,22.49,23.93,24.53,25.5,22.72,21.76
ALLSKY_SFC_SW_DWN,1997,22.15,18.53,22.94,19.52,18.03,19.06,20.61,22.19,25.51,24.33,22.05,18.99,21.18
ALLSKY_SFC_SW_DWN,1998,20.49,19.58,23.14,18.99,21.47,20.42,21.21,22.26,24.1,26.47,25.63,25.59,22.47
ALLSKY_SFC_SW_DWN,1999,21.98,25.24,18.66,19.84,19.21,20.06,19.78,19.08,22.7,25.4,23.9,22.94,21.53
ALLSKY_SFC_SW_DWN,2000,23.08,23.01,20.82,21.27,19.75,20.12,21.75,22.83,25.5,24.9,21.0,19.04,21.92
ALLSKY_SFC_SW_DWN,2001,18.18,21.78,21.48,20.52,19.75,20.45,20.82,23.66,25.01,25.07,24.85,20.99,21.87
ALLSKY_SFC_SW_DWN,2002,17.86,21.54,21.3,19.2,20.54,21.68,22.01,21.83,24.55,25.38,23.57,20.48,21.66
ALLSKY_SFC_SW_DWN,2003,21.75,23.15,22.97,21.69,17.95,20.03,21.7,23.51,23.89,25.39,25.65,22.81,22.53
ALLSKY_SFC_SW_DWN,2004,21.39,20.14,20.25,19.42,21.12,20.6,22.68,23.46,23.92,25.53,22.97,19.92,21.79
ALLSKY_SFC_SW_DWN,2005,22.26,23.33,20.48,20.25,19.76,19.92,21.15,22.62,24.87,25.41,25.53,24.47,22.5
ALLSKY_SFC_SW_DWN,2006,23.01,23.23,20.9,19.92,19.32,19.68,20.73,21.92,24.25,25.88,21.85,17.71,21.52
ALLSKY_SFC_SW_DWN,2007,20.41,19.19,21.95,21.08,18.96,19.86,20.52,21.82,25.14,26.19,24.76,20.04,21.67
ALLSKY_SFC_SW_DWN,2008,20.81,19.82,20.99,18.92,19.88,21.19,21.06,22.17,25.36,24.21,22.18,22.17,21.57
