Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",1990,1990,kg/ha,487.4,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",1991,1991,kg/ha,542.7,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",1992,1992,kg/ha,750.9,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",1993,1993,kg/ha,714.5,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",1994,1994,kg/ha,849.1,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",1995,1995,kg/ha,1056.7,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",1996,1996,kg/ha,1258.5,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",1997,1997,kg/ha,1090,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",1998,1998,kg/ha,1165,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",1999,1999,kg/ha,1246.6,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",2000,2000,kg/ha,900.7,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",2001,2001,kg/ha,643.7,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",2002,2002,kg/ha,293,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",2003,2003,kg/ha,351.3,E,Estimated value,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",2004,2004,kg/ha,321.7,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",2005,2005,kg/ha,557.6,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",2006,2006,kg/ha,282.5,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",2007,2007,kg/ha,235.6,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",2008,2008,kg/ha,676.4,A,Official figure,
QCL,Crops and livestock products,834,United Republic of Tanzania,5412,Yield,1372,"Cashew nuts, in shell",2009,2009,kg/ha,202.1,A,Official figure,
