holding_id,crop_id,s9q01,s9q02__1,s9q02__2,s9q02__3,s9q02__4,s9q02__5,s9q02__6,s9q02__7,s9q02__8,s9q02__99,s9q03,s9q04,s9q05,s9q06,s9q07,s9q08,s9q09,s9q10,s9q10a,s9q11
00-00-02-59,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-00-02-59,Paddy,Yes,Yes,Yes,No,No,No,No,No,No,No,49,3080000,51,,,,,,,
00-00-73-70,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-00-73-70,Paddy,No,Yes,Yes,No,No,No,No,No,No,No,Three-quarters - 75%,250000,One quarter - 25%,,,,,,,
00-00-82-15,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-00-82-15,Finger Millet,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-00-85-55,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-00-91-90,Maize,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
00-00-91-90,Beans,No,No,Yes,No,No,No,Yes,No,No,No,,,Half - 50%,,,,Half - 50%,,,
00-00-92-50,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-00-92-50,Beans,No,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,90000,Half - 50%,,,,,,,
00-00-95-53,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-00-95-53,Beans,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
00-00-97-34,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-00-97-34,Paddy,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-00-97-34,Sweet potatoes,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-00-97-34,Groundnut,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-01-04-71,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-01-05-10,Sorghum,Yes,Yes,Yes,No,No,No,No,No,No,No,37,30000,63,,,,,,,
00-01-05-10,Sesame,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,200000,,,,,,,,
00-01-19-31,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-01-50-14,Maize,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
00-01-50-14,Paddy,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Half - 50%,1500000,One quarter - 25%,,,,One quarter - 25%,,,
00-01-50-14,Beans,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
00-01-50-14,Groundnut,Yes,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
00-01-65-16,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,90,850000,10,,,,,,,
00-01-76-00,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-01-76-00,Beans,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-01-76-00,Coffee,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,300000,,,,,,,,
00-01-78-16,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,82,1720000,18,,,,,,,
00-01-78-16,Beans,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-01-78-16,Sunflower,No,Yes,No,No,No,No,No,No,No,No,All - 100%,480000,,,,,,,,
00-01-88-91,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,95,1400000,5,,,,,,,
00-01-88-91,Beans,Yes,Yes,Yes,No,No,No,No,No,No,No,90,3000000,10,,,,,,,
00-01-98-69,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-01-98-69,Banana,No,Yes,Yes,No,No,No,No,No,No,No,One quarter - 25%,18000,Three-quarters - 75%,,,,,,,
00-02-02-21,Maize,Yes,No,Yes,No,No,No,Yes,No,No,No,,,90,,,,10,,,
00-02-05-19,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-02-05-19,Beans,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-02-05-19,Cotton,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,36000,,,,,,,,
00-02-10-68,Maize,No,No,Yes,No,No,No,Yes,No,No,No,,,Three-quarters - 75%,,,,One quarter - 25%,,,
00-02-10-68,Beans,No,No,Yes,No,No,No,Yes,No,No,No,,,Half - 50%,,,,Half - 50%,,,
00-02-29-95,Maize,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Half - 50%,630000,48,2,,,,,,
00-02-29-95,Cotton,Yes,Yes,No,No,No,No,No,No,No,No,All - 100%,500000,,,,,,,,
00-02-34-98,Maize,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-02-34-98,Sunflower,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-02-83-12,Maize,Yes,No,Yes,No,Yes,No,No,No,No,No,,,70,,30,,,,,
00-02-83-12,Paddy,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,30,1500000,20,10,15,,One quarter - 25%,,,
00-02-83-89,Paddy,Yes,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-02-93-97,Maize,Yes,Yes,Yes,No,No,No,Yes,No,No,No,64,1250000,28,,,,8,,,
00-02-93-97,Cassava,No,Yes,Yes,No,No,No,No,No,No,No,85,392000,15,,,,,,,
00-02-93-97,Sweet potatoes,No,Yes,Yes,No,No,No,No,No,No,No,Three-quarters - 75%,170000,One quarter - 25%,,,,,,,
00-02-93-97,Beans,Yes,No,Yes,No,No,No,Yes,No,No,No,,,87,,,,13,,,
00-02-93-97,Groundnut,Yes,No,Yes,No,No,No,Yes,No,No,No,,,82,,,,18,,,
00-03-00-74,Maize,Yes,Yes,Yes,No,No,No,No,No,No,No,Half - 50%,780000,Half - 50%,,,,,,,
00-03-06-74,Maize,No,Yes,Yes,No,No,No,No,No,No,No,73,250000,27,,,,,,,
00-03-19-70,Maize,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
00-03-19-70,Cassava,No,No,Yes,No,No,No,No,No,No,No,,,All - 100%,,,,,,,
