holding_id,FIELD__id,s3q03,s3q04a_hectares
00-00-02-59,1,Purchased,2
00-00-02-59,2,Rented or leased in,1
00-00-73-70,1,Inherited,1
00-00-82-15,1,Purchased,1
00-00-85-55,1,Inherited,1
00-00-91-90,1,Inherited,1
00-00-91-90,2,Purchased,0
00-00-91-90,3,Purchased,0
00-00-92-50,1,Inherited,0
00-00-95-53,1,Customary right of occupancy,1
00-00-97-34,1,Purchased,0
00-00-97-34,2,Borrowed for free,1
00-00-97-34,3,Borrowed for free,0
00-01-04-71,1,Borrowed for free,0
00-01-05-10,1,Customary right of occupancy,1
00-01-19-31,1,Rented or leased in,0
00-01-32-98,1,Rented or leased in,0
00-01-50-14,1,Customary right of occupancy,1
00-01-50-14,2,Customary right of occupancy,3
00-01-65-16,1,Inherited,1
00-01-76-00,1,Inherited,2
00-01-78-16,1,Rented or leased in,1
00-01-78-16,2,Customary right of occupancy,0
00-01-78-16,3,Customary right of occupancy,0
00-01-78-16,4,Rented or leased in,1
00-01-78-16,5,Rented or leased in,0
00-01-78-16,6,Rented or leased in,0
00-01-78-16,7,Customary right of occupancy,0
00-01-88-91,1,Purchased,0
00-01-88-91,2,Purchased,2
00-01-88-91,3,Purchased,2
00-01-98-69,1,Inherited,0
00-01-98-69,2,Inherited,0
00-01-98-69,3,Inherited,0
00-02-02-21,1,Customary right of occupancy,3
00-02-05-19,1,Rented or leased in,1
00-02-10-68,1,Customary right of occupancy,0
00-02-29-95,1,Rented or leased in,4
00-02-34-98,1,Inherited,1
00-02-83-12,1,Granted right of occupancy,1
00-02-83-12,2,Borrowed for free,0
00-02-83-12,3,Purchased,1
00-02-83-89,1,Rented or leased in,0
00-02-93-97,1,Inherited,1
00-02-93-97,2,Customary right of occupancy,2
00-03-00-74,1,Purchased,1
00-03-06-74,1,Inherited,1
00-03-19-70,1,Other,2
00-03-38-91,1,Customary right of occupancy,6
00-03-38-91,2,Customary right of occupancy,2
00-03-38-91,3,Customary right of occupancy,2
00-03-38-91,4,Customary right of occupancy,2
00-03-42-08,1,Rented or leased in,0
00-03-43-13,1,Purchased,2
00-03-45-75,1,Granted right of occupancy,1
00-03-45-75,2,Customary right of occupancy,110
00-03-49-11,1,Granted right of occupancy,0
00-03-68-44,1,Inherited,1
00-03-80-49,1,Customary right of occupancy,2
00-03-80-49,2,Customary right of occupancy,2
00-03-81-14,1,Inherited,0
00-03-81-14,2,Inherited,0
00-03-82-26,1,Rented or leased in,5
00-04-23-22,1,Rented or leased in,0
00-04-26-65,1,Customary right of occupancy,0
00-04-30-54,1,Customary right of occupancy,0
00-04-37-37,1,Customary right of occupancy,2
00-04-59-21,1,Purchased,0
00-04-59-21,2,Purchased,0
00-04-59-21,3,Purchased,0
00-04-59-21,4,Purchased,1
00-04-63-22,1,Purchased,1
00-04-63-22,2,Purchased,0
00-04-63-22,3,Purchased,0
00-04-69-23,1,Inherited,3
00-04-69-23,2,Purchased,2
00-04-69-23,3,Inherited,1
00-04-72-61,1,Purchased,1
00-04-72-61,2,Purchased,1
00-04-72-61,3,Rented or leased in,1
00-04-75-80,1,Rented or leased in,1
00-04-78-29,1,Customary right of occupancy,0
00-04-94-01,1,Inherited,0
00-05-00-99,1,Inherited,0
00-05-09-44,1,Purchased,1
00-05-09-44,2,Customary right of occupancy,1
00-05-09-44,3,Purchased,0
00-05-17-42,1,Rented or leased in,2
00-05-21-27,1,Inherited,0
00-05-21-27,2,Other,0
00-05-31-29,1,Rented or leased in,0
00-05-38-84,1,Purchased,1
00-05-40-20,1,Inherited,0
00-05-40-20,2,Inherited,1
00-05-40-20,3,Inherited,8
00-05-43-17,1,Granted right of occupancy,1
00-05-44-46,1,Rented or leased in,1
00-05-44-46,2,Rented or leased in,0
00-05-44-46,3,Customary right of occupancy,1
00-05-53-47,1,Purchased,1
00-05-56-44,1,Purchased,1
00-05-64-29,1,Purchased,0
00-05-71-28,1,Customary right of occupancy,1
00-05-76-28,1,Inherited,0
00-06-07-08,1,Inherited,0
00-06-20-64,1,Inherited,0
00-06-25-48,1,Borrowed for free,0
