holding_id,InputRoster_masika__id,s11q01b,s11q01b_unit
00-00-02-59,Urea,650,Kilogram
00-00-02-59,Diammonium phosphate (DAP),225,Kilogram
00-00-02-59,Ammonium sulphate (SA),225,Kilogram
00-00-02-59,Herbicides (liquid),5,Liter
00-00-82-15,Urea,10,Kilogram
00-00-91-90,Insecticides,1,Liter
00-00-97-34,Insecticides,200,Milliliter
00-01-65-16,Diammonium phosphate (DAP),50,Kilogram
00-01-65-16,Insecticides,2,Liter
00-01-76-00,Diammonium phosphate (DAP),,Kilogram
00-01-76-00,Calcium ammonium nitrate (CAN),,Kilogram
00-01-76-00,Insecticides,,Liter
00-01-78-16,Urea,250,Kilogram
00-01-78-16,Diammonium phosphate (DAP),250,Kilogram
00-01-78-16,Insecticides,1,Liter
00-01-88-91,Insecticides,1,Liter
00-01-88-91,Fungicides,1,Liter
00-01-98-69,"Nitrogen, phosphorus, potassium (NPK)",25,Kilogram
00-01-98-69,Insecticides,50,Milliliter
00-02-29-95,Insecticides,1,Liter
00-02-93-97,Urea,150,Kilogram
00-02-93-97,Calcium ammonium nitrate (CAN),150,Kilogram
00-03-00-74,Urea,100,Kilogram
00-03-00-74,Diammonium phosphate (DAP),50,Kilogram
00-03-00-74,Insecticides,0,Liter
00-03-19-70,Insecticides,1,Liter
00-03-42-08,Urea,50,Kilogram
00-03-42-08,Ammonium sulphate (SA),12,Kilogram
00-03-45-75,Urea,4933,Kilogram
00-03-45-75,Diammonium phosphate (DAP),3667,Kilogram
00-03-45-75,Calcium ammonium nitrate (CAN),3433,Kilogram
00-03-45-75,Insecticides,18,Liter
00-03-45-75,Fungicides,30,Kilogram
00-03-68-44,Urea,50,Kilogram
00-03-68-44,Calcium ammonium nitrate (CAN),50,Kilogram
00-03-68-44,Insecticides,100,Milliliter
00-03-80-49,Insecticides,2,Liter
00-03-82-26,Urea,100,Kilogram
00-03-82-26,Diammonium phosphate (DAP),150,Kilogram
00-03-82-26,Calcium ammonium nitrate (CAN),50,Kilogram
00-03-82-26,Insecticides,3,Milliliter
00-04-59-21,Insecticides,1500,Milliliter
00-04-59-21,Herbicides (liquid),1667,Milliliter
00-04-69-23,Insecticides,2,Liter
00-04-72-61,Insecticides,21,Liter
00-04-72-61,Herbicides (liquid),8,Liter
00-04-72-61,Fungicides,4,Liter
00-04-78-29,Insecticides,100,Milliliter
00-05-00-99,Insecticides,1,Liter
00-05-00-99,Fungicides,5,Kilogram
00-05-09-44,Insecticides,4,Liter
00-05-44-46,Urea,2,Kilogram
00-05-44-46,Calcium ammonium nitrate (CAN),1,Kilogram
00-06-25-54,Insecticides,2,Liter
00-06-70-24,Urea,50,Kilogram
00-06-89-76,Urea,50,Kilogram
00-06-89-76,Insecticides,4,Liter
00-07-11-84,Urea,150,Kilogram
00-07-11-84,Calcium ammonium nitrate (CAN),100,Kilogram
00-07-11-84,Ammonium sulphate (SA),150,Kilogram
00-07-32-40,Urea,10,Kilogram
00-07-32-40,Insecticides,300,Milliliter
00-07-32-40,Fungicides,2,Liter
00-08-11-92,Urea,100,Kilogram
00-08-11-92,Insecticides,2,Liter
00-08-35-03,Urea,25,Kilogram
00-08-35-03,Diammonium phosphate (DAP),50,Kilogram
00-08-37-67,Urea,100,Kilogram
00-08-37-67,Calcium ammonium nitrate (CAN),100,Kilogram
00-08-46-88,Urea,250,Kilogram
00-08-46-88,Calcium ammonium nitrate (CAN),300,Kilogram
00-08-46-88,Ammonium sulphate (SA),250,Kilogram
00-09-40-71,Urea,100,Kilogram
00-09-40-71,Diammonium phosphate (DAP),100,Kilogram
00-09-40-71,Insecticides,30,Milliliter
00-09-40-71,Herbicides (liquid),6,Liter
00-09-44-34,Insecticides,2,Liter
00-09-44-34,Fungicides,20,Kilogram
00-09-52-56,Diammonium phosphate (DAP),50,Kilogram
00-09-52-56,Insecticides,1,Liter
00-09-52-56,Herbicides (liquid),1,Liter
00-09-52-56,Triple Super Phosphate (TSP),50,Kilogram
00-09-84-29,Diammonium phosphate (DAP),100,Kilogram
00-09-84-29,Insecticides,1,Liter
00-11-19-78,Urea,100,Kilogram
00-11-67-19,Urea,50,Kilogram
00-11-67-19,Diammonium phosphate (DAP),50,Kilogram
00-11-67-19,Calcium ammonium nitrate (CAN),50,Kilogram
00-13-67-00,Urea,150,Kilogram
00-13-99-00,Urea,50,Kilogram
00-13-99-00,Diammonium phosphate (DAP),50,Kilogram
00-13-99-00,Calcium ammonium nitrate (CAN),50,Kilogram
00-13-99-00,Ammonium sulphate (SA),50,Kilogram
00-13-99-00,Insecticides,300,Milliliter
00-14-26-86,Urea,150,Kilogram
00-14-26-86,Calcium ammonium nitrate (CAN),150,Kilogram
00-14-26-86,Herbicides (liquid),8,Liter
00-14-32-82,Urea,50,Kilogram
00-14-32-82,Diammonium phosphate (DAP),50,Kilogram
00-14-32-82,Herbicides (liquid),1,Liter
00-14-60-93,Insecticides,2,Liter
00-14-60-93,Fungicides,50,Kilogram
00-14-64-12,Urea,200,Kilogram
00-14-64-12,Diammonium phosphate (DAP),700,Kilogram
00-14-64-12,Calcium ammonium nitrate (CAN),500,Kilogram
00-14-71-49,Urea,50,Kilogram
00-14-71-49,Calcium ammonium nitrate (CAN),50,Kilogram
00-14-77-27,Urea,1600,Kilogram
00-14-77-27,Diammonium phosphate (DAP),1200,Kilogram
