holding_id,FIELD__id,VULIPLOT__id,crop_id,TEMP_PERM,areaPlanted,s5q03,s5q04__1,s5q04__2,s5q04__3,s5q04a,s5q04a_Unit,s5q05,s5q06__1,s5q06__2,s5q06__3,s5q06__4,s5q06__5,s5q06__6,s5q06__7,s5q06__8,s5q06__9,s5q06__99,s5q07,areaHarvested,s5q10__1,s5q10__2,s5q10__3,s5q10__4,s5q10__5,s5q10__6,s5q10__7,s5q10__8,s5q10__9,s5q10__99,s5q11,s5q12,s5q13,s5q14,s5q14a,s5q14b_unit,harvest_ton
00-00-82-15,1,1,Maize,Temporary,0,SEPTEMBER 2023,Yes,No,No,10,KILOGRAM,Yes,,,,,,,,,,,October 2023,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-00-82-15,1,1,Finger Millet,Temporary,0,SEPTEMBER 2023,No,No,Yes,6,KILOGRAM,Yes,,,,,,,,,,,October 2023,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-00-92-50,1,1,Maize,Temporary,0,SEPTEMBER 2023,No,Yes,No,4,KILOGRAM,Yes,,,,,,,,,,,January 2024,0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,0
00-00-92-50,1,1,Beans,Temporary,0,SEPTEMBER 2023,No,Yes,No,20,KILOGRAM,Yes,,,,,,,,,,,December 2023,0,,,,,,,,,,,,,,,,,0
00-00-95-53,1,2,Beans,Temporary,0,DECEMBER 2023,No,Yes,No,10,KILOGRAM,Yes,,,,,,,,,,,April 2024,0,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,0
00-00-97-34,1,1,Maize,Temporary,0,SEPTEMBER 2023,No,Yes,No,3,KILOGRAM,Yes,,,,,,,,,,,January 2024,0,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,0
00-00-97-34,1,1,Groundnut,Temporary,0,SEPTEMBER 2023,No,Yes,No,1,KILOGRAM,Yes,,,,,,,,,,,January 2024,0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,0
00-00-97-34,2,1,Paddy,Temporary,0,OCTOBER 2023,No,Yes,No,40,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,1
00-00-97-34,2,2,Maize,Temporary,0,SEPTEMBER 2023,No,Yes,No,2,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,0
00-00-97-34,2,2,Beans,Temporary,0,SEPTEMBER 2023,No,Yes,No,1,KILOGRAM,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,0
00-00-97-34,3,1,Maize,Temporary,0,SEPTEMBER 2023,No,Yes,No,2,KILOGRAM,Yes,,,,,,,,,,,January 2024,0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,0
00-01-88-91,1,1,Beans,Temporary,0,NOVEMBER 2023,No,No,Yes,20,KILOGRAM,Yes,,,,,,,,,,,January 2024,0,,,,,,,,,,,,,,,,,0
00-01-88-91,2,1,Maize,Temporary,2,NOVEMBER 2023,Yes,No,No,6,KILOGRAM,Yes,,,,,,,,,,,March 2024,2,,,,,,,,,,,,,,,,,3
00-01-88-91,3,1,Maize,Temporary,1,NOVEMBER 2023,Yes,No,No,4,KILOGRAM,Yes,,,,,,,,,,,March 2024,1,,,,,,,,,,,,,,,,,2
00-01-88-91,3,1,Beans,Temporary,1,NOVEMBER 2023,No,No,Yes,20,KILOGRAM,Yes,,,,,,,,,,,January 2024,1,,,,,,,,,,,,,,,,,0
00-01-98-69,1,1,Banana,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCATTERED,FARMER IS UNABLE TO QUANTIFY,,No,,,
00-01-98-69,2,1,Maize,Temporary,0,NOVEMBER 2023,Yes,No,No,4,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-01-98-69,3,1,Maize,Temporary,0,NOVEMBER 2023,Yes,No,No,3,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-02-05-19,1,1,Maize,Temporary,0,OCTOBER 2023,Yes,No,No,4,KILOGRAM,Yes,,,,,,,,,,,April 2024,0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,0
00-02-05-19,1,1,Cassava,Temporary,0,OCTOBER 2023,No,Yes,No,500,CUTTINGS,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,0
00-02-05-19,1,1,Beans,Temporary,0,OCTOBER 2023,Yes,Yes,No,3,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,0
00-02-05-19,1,2,Cotton,Temporary,0,NOVEMBER 2023,Yes,No,No,20,KILOGRAM,Yes,,,,,,,,,,,June 2024,0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,1
00-02-10-68,1,1,Maize,Temporary,0,NOVEMBER 2023,No,Yes,No,6,KILOGRAM,Yes,,,,,,,,,,,June 2024,0,No,Yes,No,No,Yes,No,No,No,No,Yes,,,,,,,0
00-02-10-68,1,1,Beans,Temporary,0,NOVEMBER 2023,No,Yes,No,20,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,No,Yes,No,No,Yes,No,No,No,No,Yes,,,,,,,0
00-03-00-74,1,1,Maize,Temporary,1,OCTOBER 2023,Yes,No,No,10,KILOGRAM,Yes,,,,,,,,,,,February 2024,1,,,,,,,,,,,,,,,,,1
00-03-06-74,1,1,Maize,Temporary,1,NOVEMBER 2023,No,Yes,No,15,KILOGRAM,Yes,,,,,,,,,,,May 2024,1,,,,,,,,,,,,,,,,,1
00-03-38-91,1,1,Maize,Temporary,3,NOVEMBER 2023,Yes,No,No,35,KILOGRAM,Yes,,,,,,,,,,,April 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,1
00-03-38-91,1,1,Cotton,Temporary,3,OCTOBER 2023,Yes,No,No,70,KILOGRAM,Yes,,,,,,,,,,,May 2024,1,No,No,No,No,Yes,No,No,No,No,No,,,,,,,1
00-03-38-91,2,1,Cotton,Temporary,1,NOVEMBER 2023,Yes,No,No,70,KILOGRAM,Yes,,,,,,,,,,,July 2024,0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,2
00-03-38-91,3,1,Cotton,Temporary,2,NOVEMBER 2023,Yes,No,No,50,KILOGRAM,Yes,,,,,,,,,,,July 2024,0,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,0
00-03-38-91,4,1,Maize,Temporary,1,NOVEMBER 2023,Yes,No,No,12,KILOGRAM,Yes,,,,,,,,,,,April 2024,0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,0
00-03-38-91,4,1,Cotton,Temporary,1,OCTOBER 2023,Yes,No,No,25,KILOGRAM,No,No,No,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,0
00-03-43-13,1,1,Maize,Temporary,1,NOVEMBER 2023,Yes,No,No,10,KILOGRAM,Yes,,,,,,,,,,,April 2024,0,No,No,No,No,Yes,No,No,Yes,No,No,,,,,,,3
00-03-43-13,1,1,Cassava,Temporary,0,NOVEMBER 2023,No,Yes,No,5800,CUTTINGS,Yes,,,,,,,,,,,September 2024,0,Yes,No,No,No,No,No,No,No,No,No,,,,,,,5
00-03-81-14,1,1,Cassava,Temporary,0,OCTOBER 2023,No,Yes,No,987,CUTTINGS,Yes,,,,,,,,,,,March 2024,0,,,,,,,,,,,,,,,,,1
00-04-23-22,1,1,Maize,Temporary,0,SEPTEMBER 2023,No,No,Yes,1,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-04-23-22,1,1,Beans,Temporary,0,SEPTEMBER 2023,No,Yes,No,2,KILOGRAM,Yes,,,,,,,,,,,November 2023,0,,,,,,,,,,,,,,,,,0
00-04-26-65,1,1,Maize,Temporary,0,NOVEMBER 2023,Yes,No,No,12,KILOGRAM,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,0
00-04-30-54,1,1,Maize,Temporary,0,NOVEMBER 2023,Yes,No,No,6,KILOGRAM,Yes,,,,,,,,,,,March 2024,0,Yes,No,No,No,Yes,No,No,No,No,No,,,,,,,0
00-04-30-54,1,1,Beans,Temporary,0,NOVEMBER 2023,No,No,Yes,2,KILOGRAM,No,Yes,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,0
00-04-37-37,1,1,Maize,Temporary,0,SEPTEMBER 2023,Yes,No,No,12,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,0
00-04-37-37,1,3,Cassava,Temporary,0,NOVEMBER 2023,No,No,Yes,1895,CUTTINGS,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,0
00-04-59-21,1,1,Banana,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCATTERED,2,2,No,,,
00-04-59-21,1,1,Avocado,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCATTERED,1,0,No,,,
00-04-59-21,1,1,Mango,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCATTERED,2,2,No,,,
00-04-59-21,2,1,Maize,Temporary,0,SEPTEMBER 2023,Yes,No,No,4,KILOGRAM,Yes,,,,,,,,,,,February 2024,0,,,,,,,,,,,,,,,,,0
