holding_id,input_Use_roster__id,s21q02,s21q03,s21q04,s21q05,s21q06,s21q07,s21q08,s21q09,s21q10
00-00-02-59,manually operated equipment,99,99,,,,,,Yes,99
00-00-02-59,Vehicle,1,1,1,,,,,No,
00-00-02-59,machine powered land preparation and planting equipment,1,1,1,,,,,No,
00-00-73-70,manually operated equipment,37,22,,,,,,Yes,15
00-00-73-70,animal powered equipment,1,1,,,,,,No,
00-00-82-15,manually operated equipment,13,13,,,,,,No,
00-00-85-55,manually operated equipment,5,5,,,,,,No,
00-00-85-55,animal powered equipment,1,0,,0,,,,No,
00-00-85-55,Vehicle,1,0,,0,,1,80000,No,
00-00-91-90,manually operated equipment,10,10,,,,,,No,
00-00-92-50,manually operated equipment,6,6,,,,,,No,
00-00-95-53,manually operated equipment,5,4,,,,,,No,
00-00-95-53,animal powered equipment,1,1,,,,,,No,
00-00-95-53,post-harvest equipment,1,0,,0,,1,6000,No,
00-00-97-34,manually operated equipment,25,24,,,,,,No,
00-01-04-71,manually operated equipment,2,2,,,,,,No,
00-01-05-10,manually operated equipment,4,4,,,,,,No,
00-01-05-10,animal powered equipment,2,0,,2,,,,No,
00-01-19-31,manually operated equipment,5,4,,,,,,No,
00-01-19-31,animal powered equipment,1,0,,1,,,,No,
00-01-32-98,manually operated equipment,3,3,,,,,,No,
00-01-50-14,manually operated equipment,73,53,,,,,,Yes,15
00-01-50-14,animal powered equipment,1,1,,,,,,No,
00-01-65-16,animal powered equipment,1,0,,0,,,,No,
00-01-76-00,manually operated equipment,7,7,,,,,,No,
00-01-78-16,manually operated equipment,52,52,,,,,,No,
00-01-78-16,Vehicle,1,0,,0,,1,80000,No,
00-01-88-91,manually operated equipment,8,8,,,,,,Yes,4
00-01-98-69,manually operated equipment,17,16,,,,,,Yes,2
00-02-02-21,manually operated equipment,18,18,,,,,,No,
00-02-02-21,animal powered equipment,2,2,,,,,,No,
00-02-05-19,manually operated equipment,4,4,,,,,,No,
00-02-10-68,manually operated equipment,4,4,,,,,,No,
00-02-29-95,manually operated equipment,3,3,,,,,,No,
00-02-29-95,Vehicle,1,1,2,,,,,No,
00-02-34-98,manually operated equipment,13,13,,,,,,Yes,5
00-02-34-98,animal powered equipment,1,1,,,,,,No,
00-02-34-98,machine powered land preparation and planting equipment,1,0,,0,,1,70000,No,
00-02-34-98,post-harvest equipment,1,0,,0,,1,15000,No,
00-02-83-12,manually operated equipment,108,68,,,,,,Yes,5
00-02-83-12,animal powered equipment,4,4,,,,,,No,
00-02-83-89,manually operated equipment,3,3,,,,,,No,
00-02-93-97,manually operated equipment,4,4,,,,,,No,
00-02-93-97,animal powered equipment,2,0,,0,,,,No,
00-03-00-74,manually operated equipment,18,3,,,,,,No,
00-03-06-74,manually operated equipment,3,3,,,,,,No,
