holding_id,FIELD__id,crop_id,areaPlanted,s8q01,s8q02__1,s8q02__2,s8q02__3,s8q02__4,s8q02__5,s8q02__6,s8q02__7,s8q02__8,s8q02__9,s8q02__10,s8q02__11,s8q02__99,s8q03__13,s8q03__14,s8q03__15,s8q03__1,s8q03__2,s8q03__3,s8q03__4,s8q03__5,s8q03__6,s8q03__7,s8q03__8,s8q03__9,s8q03__10,s8q03__11,s8q03__12,s8q03__16,harvest_ton
00-01-76-00,1,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0
00-01-98-69,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,,,,Yes,1
00-04-59-21,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,0
00-04-59-21,1,Avocado,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
00-04-59-21,1,Mango,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,0
00-04-59-21,2,Mango,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,0
00-04-75-80,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0
00-05-17-42,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,No,0
00-05-44-46,3,Coffee,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,,,,No,0
00-05-64-29,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,,,No,0
00-07-66-21,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,1
00-08-52-68,1,Mango,0,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,0
00-08-87-55,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-09-26-25,1,Banana,0,Yes,,,,,,,,,,,,,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,,,,Yes,0
00-09-44-34,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,,,No,0
00-09-44-34,1,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-09-52-56,1,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,Yes,,,,Yes,0
00-11-37-78,2,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,,,,Yes,1
00-11-37-78,6,Banana,0,Yes,,,,,,,,,,,,,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,,,,Yes,1
00-12-62-64,1,Banana,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,0
00-12-62-64,1,Mango,0,Yes,,,,,,,,,,,,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,0
00-12-62-79,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,,,,No,0
00-13-02-41,1,Mango,0,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,
00-13-99-00,1,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,0
00-14-60-93,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
00-14-60-93,1,Cashew nut,3,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,0
00-14-81-09,2,Banana,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,8
00-14-81-09,2,Avocado,0,Yes,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,No,0
00-16-49-08,1,Sugar cane,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,,,No,0
00-16-51-30,1,Cashew nut,1,Yes,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
00-16-64-17,1,Banana,1,Yes,,,,,,,,,,,,,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,1
00-16-72-45,1,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,0
00-16-72-45,1,Banana,0,Yes,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,1
00-17-31-71,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,Yes,,,,No,0
00-17-63-80,1,Coffee,0,Yes,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
00-17-63-80,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,0
00-17-88-17,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0
00-17-94-66,3,Mango,0,Yes,,,,,,,,,,,,,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,0
00-18-46-49,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-19-39-75,1,Cashew nut,1,Yes,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,No,0
00-19-39-75,2,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,0
00-19-64-31,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
00-20-95-00,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0
00-20-95-00,2,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0
00-21-56-39,1,Banana,0,Yes,,,,,,,,,,,,,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,,,,Yes,0
00-22-62-36,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-22-63-88,2,Cashew nut,2,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0
00-23-15-45,1,Banana,0,Yes,,,,,,,,,,,,,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,0
00-23-73-51,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,No,0
00-24-10-09,4,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,0
00-24-11-83,1,Banana,0,Yes,,,,,,,,,,,,,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,,,,No,1
00-24-34-20,1,Banana,1,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2
00-24-34-20,1,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0
00-24-34-20,1,Mango,0,Yes,,,,,,,,,,,,,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,0
00-24-39-08,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,,No,0
00-25-19-80,1,Banana,0,Yes,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,,,,Yes,0
00-25-71-62,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-26-62-90,1,Banana,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,0
00-26-95-96,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,,,,Yes,1
00-27-65-36,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0
00-27-75-07,1,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0
00-27-75-07,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0
00-27-75-07,1,Avocado,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
00-28-27-64,1,Coffee,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,0
00-28-27-64,1,Sugar cane,2,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,24
00-28-27-64,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,0
00-28-57-46,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,0
00-28-82-84,2,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,1
00-29-22-22,1,Cashew nut,4,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-29-73-51,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,No,0
00-29-86-15,2,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-30-30-56,1,Banana,0,Yes,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,No,0
00-31-04-97,1,Coffee,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
00-31-04-97,1,Banana,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
00-31-48-93,1,Banana,0,Yes,,,,,,,,,,,,,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,,,,Yes,1
00-31-58-92,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0
00-31-81-38,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,0
00-31-81-38,1,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-31-84-61,2,Banana,0,Yes,,,,,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,1
00-32-39-31,1,Coffee,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,No,0
00-32-39-31,1,Banana,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,,,No,4
00-33-21-92,1,Banana,0,Yes,,,,,,,,,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,,,,No,0
00-33-84-00,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-34-23-62,2,Banana,0,Yes,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,,,,No,0
00-34-49-12,2,Avocado,0,Yes,,,,,,,,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,No,0
00-35-52-23,5,Banana,0,Yes,,,,,,,,,,,,,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0
00-35-52-23,6,Mango,0,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,0
00-35-75-32,1,Pigeon pea,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-37-63-40,1,Banana,1,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,,,No,0
00-37-80-72,1,Cashew nut,2,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0
00-38-63-02,1,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1
00-38-63-02,2,Banana,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0
00-38-65-85,1,Pigeon pea,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,0
00-38-65-85,1,Cashew nut,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,
00-38-65-85,2,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-38-74-07,1,Sugar cane,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,,,,No,0
00-38-74-07,1,Orange,0,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,,,,No,0
00-38-98-64,1,Banana,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2
00-39-22-77,1,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,0
00-40-20-27,1,Cashew nut,4,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,2
00-40-20-27,2,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,1
00-40-20-27,3,Cashew nut,1,Yes,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,1
