holding_id,sec16_otherproducts__id,s16q02a,s16q02b,s16q03,s16q03_unit,s16q04,s16q05,s16q06d,s16q06e
00-00-02-59,Animal dung from ruminants and poultry,,,,,No,,,
00-00-82-15,Animal dung from ruminants and poultry,,,,,No,,,
00-00-91-90,Sting/Stingless bee honey,3,0,15,Litres,No,,,
00-01-50-14,Animal dung from ruminants and poultry,,,,,No,,,
00-01-78-16,Animal dung from ruminants and poultry,,,,,No,,,
00-01-98-69,Animal dung from ruminants and poultry,,,,,No,,,
00-02-02-21,Animal dung from ruminants and poultry,,,,,No,,,
00-02-83-12,Animal dung from ruminants and poultry,,,,,No,,,
00-03-00-74,Animal dung from ruminants and poultry,,,,,No,,,
00-03-38-91,Animal dung from ruminants and poultry,,,,,No,,,
00-03-45-75,Animal dung from ruminants and poultry,,,,,No,,,
00-03-49-11,Animal dung from ruminants and poultry,,,,,Yes,,,1600000
00-03-80-49,Animal dung from ruminants and poultry,,,,,No,,,
00-03-81-14,Animal dung from ruminants and poultry,,,,,No,,,
00-03-82-26,Animal dung from ruminants and poultry,,,,,No,,,
00-04-59-21,Animal dung from ruminants and poultry,,,,,No,,,
00-04-63-22,Animal dung from ruminants and poultry,,,,,No,,,
00-04-69-23,Animal dung from ruminants and poultry,,,,,No,,,
00-04-78-29,Animal dung from ruminants and poultry,,,,,No,,,
00-05-00-99,Animal dung from ruminants and poultry,,,,,No,,,
00-05-38-84,Animal dung from ruminants and poultry,,,,,No,,,
00-05-40-20,Animal dung from ruminants and poultry,,,,,No,,,
00-05-43-17,Animal dung from ruminants and poultry,,,,,No,,,
00-05-53-47,Animal dung from ruminants and poultry,,,,,No,,,
00-05-64-29,Animal dung from ruminants and poultry,,,,,No,,,
00-06-20-64,Animal dung from ruminants and poultry,,,,,No,,,
00-06-89-76,Animal dung from ruminants and poultry,,,,,No,,,
00-07-19-23,Animal dung from ruminants and poultry,,,,,No,,,
00-07-19-87,Animal dung from ruminants and poultry,,,,,No,,,
00-07-66-21,Animal dung from ruminants and poultry,,,,,No,,,
00-08-11-92,Animal dung from ruminants and poultry,,,,,No,,,
00-08-22-79,Sting/Stingless bee honey,1,1,10,Litres,No,,,
00-08-35-03,Animal dung from ruminants and poultry,,,,,No,,,
00-08-87-55,Sting/Stingless bee honey,2,0,10,Litres,No,,,
00-09-26-25,Animal dung from ruminants and poultry,,,,,No,,,
00-09-36-27,Animal dung from ruminants and poultry,,,,,No,,,
00-09-84-29,Animal dung from ruminants and poultry,,,,,No,,,
00-11-18-53,Animal dung from ruminants and poultry,,,,,No,,,
00-11-37-78,Animal dung from ruminants and poultry,,,,,No,,,
