Crop,Year,Yield_kg_ha,Solar_MJ_m2,Rainfall_mm,Temp_Max_C,Temp_Min_C,Nitrogen_t,Phosphate_t,Potash_t,Area_ha
"Cassava, fresh",1990,13202.1,21.826666666666668,793.8,35.53,9.59,33100,10900,2800,590210
"Cassava, fresh",1991,12346.9,21.51,616.67,35.5,9.34,33644,11318,4717,604200
"Cassava, fresh",1992,10402.1,21.98,632.32,36.53,10.0,33147,10000,4776,683710
"Cassava, fresh",1993,10400.0,22.53,615.95,36.12,9.06,26300,6800,3200,657000
"Cassava, fresh",1994,10399.9,21.72,679.5,36.94,9.44,25400,6900,3600,693200
"Cassava, fresh",1995,10206.6,21.88,875.5,35.51,9.57,15000,7000,5000,584800
"Cassava, fresh",1996,10189.7,21.76,891.04,35.81,8.58,20175,7000,4039,588200
"Cassava, fresh",1997,8596.8,21.18,916.2,34.72,9.37,24943,8300,6737,663500
"Cassava, fresh",1998,7076.7,22.47,522.69,37.07,10.34,19324,5917,5615,745400
"Cassava, fresh",1999,8214.3,21.53,445.24,36.57,10.39,12535,6234,2211,655700
"Cassava, fresh",2000,6597.6,21.92,582.48,36.09,10.56,14135,5974,2295,809700
"Cassava, fresh",2001,6561.3,21.87,492.87,36.24,10.55,6660,884,330,660900
"Cassava, fresh",2002,7839.5,21.66,767.09,35.13,11.89,22192,5281,4345,660260
"Cassava, fresh",2003,4573.7,22.53,566.07,35.9,10.27,26590,6390,5070,866282
"Cassava, fresh",2004,4655.9,21.79,777.12,35.74,10.68,34469,9725,6053,953749
"Cassava, fresh",2005,6111.3,22.5,414.89,36.21,10.98,33530,16825,5463,906387
"Cassava, fresh",2006,6200.6,21.52,823.64,36.99,10.38,39222,11552,1583,993171
"Cassava, fresh",2007,6673.3,21.67,718.3,35.7,10.27,41448,8992,276,779067
"Cassava, fresh",2008,6436.8,21.57,803.27,35.49,9.57,43426,9264,276,837744
"Cassava, fresh",2009,5471.2,22.19,1045.68,35.59,10.12,66942,14951,4640,1081384
"Cassava, fresh",2010,5209.6,22.33,580.41,36.07,11.1,66380,27349,8196,873000
"Cassava, fresh",2011,6280.8,21.55,817.92,36.75,10.33,67717,28943,9205,739794
"Cassava, fresh",2012,5722.8,22.13,889.39,35.37,11.08,56531,40172,8009,954509
"Cassava, fresh",2013,5505.7,22.48,648.35,36.31,11.56,108182,27803,15456,863678
"Cassava, fresh",2014,6237.4,21.49,914.32,35.15,10.68,84010,27079,9114,800454
"Cassava, fresh",2015,5376.2,21.69,733.96,35.92,11.53,76516,33178,10661,1094900
"Cassava, fresh",2016,5227.2,22.19,923.51,35.7,9.58,107567,54641,7953,995073
"Cassava, fresh",2017,3348.2,22.02,874.9,36.07,11.53,106012,46566,11038,1202216
"Cassava, fresh",2018,8512.6,21.42,1589.91,35.27,10.32,141509,57189,15038,983505
"Cassava, fresh",2019,8259.8,21.52,1709.39,34.14,10.02,78207,29839,11580,990835
